alias,canonical_term,category,risk_level,risk_score,rec_action,why_flagged,source_tier
malted barley flour,malt/barley,barley_malt_brewing,CONTAINS_GLUTEN,3,reject,barley/malt or non-distilled brewing term associated with gluten-containing grains,CDF/GIG
malted barley syrup,malt/barley,barley_malt_brewing,CONTAINS_GLUTEN,3,reject,barley/malt or non-distilled brewing term associated with gluten-containing grains,CDF/GIG
malted cereal,malt/barley,barley_malt_brewing,CONTAINS_GLUTEN,3,reject,barley/malt or non-distilled brewing term associated with gluten-containing grains,CDF/GIG
malted drink,malt/barley,barley_malt_brewing,CONTAINS_GLUTEN,3,reject,barley/malt or non-distilled brewing term associated with gluten-containing grains,CDF/GIG
malted drink mix,malt/barley,barley_malt_brewing,CONTAINS_GLUTEN,3,reject,barley/malt or non-distilled brewing term associated with gluten-containing grains,CDF/GIG
malted milk,malt/barley,barley_malt_brewing,CONTAINS_GLUTEN,3,reject,barley/malt or non-distilled brewing term associated with gluten-containing grains,CDF/GIG
malted milk powder,malt/barley,barley_malt_brewing,CONTAINS_GLUTEN,3,reject,barley/malt or non-distilled brewing term associated with gluten-containing grains,CDF/GIG
malted milkshake,malt/barley,barley_malt_brewing,CONTAINS_GLUTEN,3,reject,barley/malt or non-distilled brewing term associated with gluten-containing grains,CDF/GIG
malted wheat,malt/barley,barley_malt_brewing,CONTAINS_GLUTEN,3,reject,barley/malt or non-distilled brewing term associated with gluten-containing grains,CDF/GIG
maltodextrin,maltodextrin,ambiguous_or_requires_source_check,AMBIGUOUS_VERIFY_SOURCE,1,verify,term can be gluten-containing depending on source/formulation or commonly appears in hidden-gluten contexts,GIG/CDF/FDA
marinade,marinade,high_risk_food_phrase,AMBIGUOUS_VERIFY_SOURCE,1,verify,high-risk food phrase commonly associated with hidden gluten; verify ingredient list or source,GIG/CDF
marinades,marinades,high_risk_food_phrase,AMBIGUOUS_VERIFY_SOURCE,1,verify,high-risk food phrase commonly associated with hidden gluten; verify ingredient list or source,GIG/CDF
marmite,marmite,high_risk_food_phrase,AMBIGUOUS_VERIFY_SOURCE,1,verify,high-risk food phrase commonly associated with hidden gluten; verify ingredient list or source,GIG/CDF
matza,matza,wheat_variety_or_common_food,CONTAINS_GLUTEN,3,reject,common wheat variety or wheat-based food commonly listed as gluten-containing,CDF/GIG
matza meal,matza meal,wheat_variety_or_common_food,CONTAINS_GLUTEN,3,reject,common wheat variety or wheat-based food commonly listed as gluten-containing,CDF/GIG
matzah,matzah,wheat_variety_or_common_food,CONTAINS_GLUTEN,3,reject,common wheat variety or wheat-based food commonly listed as gluten-containing,CDF/GIG
matzah meal,matzah meal,wheat_variety_or_common_food,CONTAINS_GLUTEN,3,reject,common wheat variety or wheat-based food commonly listed as gluten-containing,CDF/GIG
matzo,matzo,wheat_variety_or_common_food,CONTAINS_GLUTEN,3,reject,common wheat variety or wheat-based food commonly listed as gluten-containing,CDF/GIG
matzo meal,matzo meal,wheat_variety_or_common_food,CONTAINS_GLUTEN,3,reject,common wheat variety or wheat-based food commonly listed as gluten-containing,CDF/GIG
meat substitute,meat substitute,high_risk_food_phrase,AMBIGUOUS_VERIFY_SOURCE,1,verify,high-risk food phrase commonly associated with hidden gluten; verify ingredient list or source,GIG/CDF
milkshake mix,milkshake mix,high_risk_food_phrase,AMBIGUOUS_VERIFY_SOURCE,1,verify,high-risk food phrase commonly associated with hidden gluten; verify ingredient list or source,GIG/CDF
miso,mixed fermentation,high_risk_food_phrase,AMBIGUOUS_VERIFY_SOURCE,1,verify,some types may include barley/wheat,GIG
modified food starch,modified food starch,ambiguous_or_requires_source_check,AMBIGUOUS_VERIFY_SOURCE,1,verify,term can be gluten-containing depending on source/formulation or commonly appears in hidden-gluten contexts,GIG/CDF/FDA
modified starch,modified starch,ambiguous_or_requires_source_check,AMBIGUOUS_VERIFY_SOURCE,1,verify,term can be gluten-containing depending on source/formulation or commonly appears in hidden-gluten contexts,GIG/CDF/FDA
modified wheat starch,wheat,wheat_ingredient,CONTAINS_GLUTEN,3,reject,explicit wheat-derived starch unless proven otherwise,GIG/CDF
muffin,wheat,high_risk_food_phrase,LIKELY_CONTAINS_GLUTEN,2,reject,usually wheat-based baked good,CDF
multigrain tortilla,mixed grains,high_risk_food_phrase,AMBIGUOUS_VERIFY_SOURCE,1,verify,may include wheat/barley,CDF
mustard powder blend,mustard powder blend,high_risk_food_phrase,AMBIGUOUS_VERIFY_SOURCE,1,verify,high-risk food phrase commonly associated with hidden gluten; verify ingredient list or source,GIG/CDF
naan,naan,wheat_variety_or_common_food,CONTAINS_GLUTEN,3,reject,common wheat variety or wheat-based food commonly listed as gluten-containing,CDF/GIG
natural flavor,natural flavor,ambiguous_or_requires_source_check,AMBIGUOUS_VERIFY_SOURCE,1,verify,term can be gluten-containing depending on source/formulation or commonly appears in hidden-gluten contexts,GIG/CDF/FDA
natural flavors,natural flavors,ambiguous_or_requires_source_check,AMBIGUOUS_VERIFY_SOURCE,1,verify,term can be gluten-containing depending on source/formulation or commonly appears in hidden-gluten contexts,GIG/CDF/FDA
natural flavour,natural flavour,ambiguous_or_requires_source_check,AMBIGUOUS_VERIFY_SOURCE,1,verify,term can be gluten-containing depending on source/formulation or commonly appears in hidden-gluten contexts,GIG/CDF/FDA
natural flavours,natural flavours,ambiguous_or_requires_source_check,AMBIGUOUS_VERIFY_SOURCE,1,verify,term can be gluten-containing depending on source/formulation or commonly appears in hidden-gluten contexts,GIG/CDF/FDA
non-certified oats,oats,oats_context,CONTEXT_DEPENDENT,1,verify,oats are not gluten grains but need gluten-free verification due cross-contact; some patients react to avenin,FDA/CDF
oat bran,oats,oats_context,CONTEXT_DEPENDENT,1,verify,oats are not gluten grains but need gluten-free verification due cross-contact; some patients react to avenin,FDA/CDF
oat fiber,oats,oats_context,CONTEXT_DEPENDENT,1,verify,oats are not gluten grains but need gluten-free verification due cross-contact; some patients react to avenin,FDA/CDF
oat flakes,oats,oats_context,CONTEXT_DEPENDENT,1,verify,oats are not gluten grains but need gluten-free verification due cross-contact; some patients react to avenin,FDA/CDF
oat flour,oats,oats_context,CONTEXT_DEPENDENT,1,verify,oats are not gluten grains but need gluten-free verification due cross-contact; some patients react to avenin,FDA/CDF
oatmeal,oats,oats_context,CONTEXT_DEPENDENT,1,verify,oats are not gluten grains but need gluten-free verification due cross-contact; some patients react to avenin,FDA/CDF
oats,oats,oats_context,CONTEXT_DEPENDENT,1,verify,oats are not gluten grains but need gluten-free verification due cross-contact; some patients react to avenin,FDA/CDF
omega gliadin,gliadin,gluten_protein,CONTAINS_GLUTEN,3,reject,gliadin protein subclass,NIH
omega-gliadin,gliadin,gluten_protein,CONTAINS_GLUTEN,3,reject,gliadin protein subclass,NIH
orzo,orzo,wheat_variety_or_common_food,CONTAINS_GLUTEN,3,reject,common wheat variety or wheat-based food commonly listed as gluten-containing,CDF/GIG
orzo pasta,orzo pasta,wheat_variety_or_common_food,CONTAINS_GLUTEN,3,reject,common wheat variety or wheat-based food commonly listed as gluten-containing,CDF/GIG
overnight oats,oats,oats_context,CONTEXT_DEPENDENT,1,verify,oats are not gluten grains but need gluten-free verification due cross-contact; some patients react to avenin,FDA/CDF
pancake batter,wheat,high_risk_food_phrase,CONTAINS_GLUTEN,3,reject,common wheat flour mixture,CDF/GIG
panko,panko,wheat_variety_or_common_food,CONTAINS_GLUTEN,3,reject,common wheat variety or wheat-based food commonly listed as gluten-containing,CDF/GIG
panko breadcrumbs,wheat,high_risk_food_phrase,CONTAINS_GLUTEN,3,reject,panko is bread crumb coating,CDF
pasta,wheat,high_risk_food_phrase,CONTAINS_GLUTEN,3,reject,common wheat-based food unless explicitly GF,CDF
pastry flour,wheat,wheat_ingredient,CONTAINS_GLUTEN,3,reject,wheat flour type,CDF
pearl barley,barley,barley_derivative,CONTAINS_GLUTEN,3,reject,barley form,CDF
pearl couscous,pearl couscous,wheat_variety_or_common_food,CONTAINS_GLUTEN,3,reject,common wheat variety or wheat-based food commonly listed as gluten-containing,CDF/GIG
phyllo,phyllo,wheat_variety_or_common_food,CONTAINS_GLUTEN,3,reject,common wheat variety or wheat-based food commonly listed as gluten-containing,CDF/GIG
pie crust,wheat,high_risk_food_phrase,LIKELY_CONTAINS_GLUTEN,2,reject,usually wheat-based pastry,CDF
pita,pita,wheat_variety_or_common_food,CONTAINS_GLUTEN,3,reject,common wheat variety or wheat-based food commonly listed as gluten-containing,CDF/GIG
pizza crust,wheat,high_risk_food_phrase,LIKELY_CONTAINS_GLUTEN,2,reject,typically wheat-based,CDF
plant protein,plant protein,ambiguous_or_requires_source_check,AMBIGUOUS_VERIFY_SOURCE,1,verify,term can be gluten-containing depending on source/formulation or commonly appears in hidden-gluten contexts,GIG/CDF/FDA
ponzu sauce,ponzu sauce,high_risk_food_phrase,AMBIGUOUS_VERIFY_SOURCE,1,verify,high-risk food phrase commonly associated with hidden gluten; verify ingredient list or source,GIG/CDF
porter,malt/barley,barley_malt_brewing,CONTAINS_GLUTEN,3,reject,barley/malt or non-distilled brewing term associated with gluten-containing grains,CDF/GIG
potato bread,wheat,high_risk_food_phrase,LIKELY_CONTAINS_GLUTEN,2,reject,usually wheat-based bread,CDF
powdered soup,powdered soup,high_risk_food_phrase,AMBIGUOUS_VERIFY_SOURCE,1,verify,high-risk food phrase commonly associated with hidden gluten; verify ingredient list or source,GIG/CDF
pre-seasoned meat,pre-seasoned meat,ambiguous_or_requires_source_check,AMBIGUOUS_VERIFY_SOURCE,1,verify,term can be gluten-containing depending on source/formulation or commonly appears in hidden-gluten contexts,GIG/CDF/FDA
preserved meats,preserved meats,ambiguous_or_requires_source_check,AMBIGUOUS_VERIFY_SOURCE,1,verify,term can be gluten-containing depending on source/formulation or commonly appears in hidden-gluten contexts,GIG/CDF/FDA
pretzel,pretzel,wheat_variety_or_common_food,CONTAINS_GLUTEN,3,reject,common wheat variety or wheat-based food commonly listed as gluten-containing,CDF/GIG
processed chips,processed chips,high_risk_food_phrase,AMBIGUOUS_VERIFY_SOURCE,1,verify,high-risk food phrase commonly associated with hidden gluten; verify ingredient list or source,GIG/CDF
prolamin,prolamin,gluten_protein_family,CONTEXT_DEPENDENT,1,manual_review,protein family term requires source grain context,NIH
protein concentrate,protein concentrate,ambiguous_or_requires_source_check,AMBIGUOUS_VERIFY_SOURCE,1,verify,term can be gluten-containing depending on source/formulation or commonly appears in hidden-gluten contexts,GIG/CDF/FDA
protein isolate,protein isolate,ambiguous_or_requires_source_check,AMBIGUOUS_VERIFY_SOURCE,1,verify,term can be gluten-containing depending on source/formulation or commonly appears in hidden-gluten contexts,GIG/CDF/FDA
pumpernickel,rye,rye_derivative,CONTAINS_GLUTEN,3,reject,rye bread/flour term,GIG/CDF
quick oats,oats,oats_context,CONTEXT_DEPENDENT,1,verify,oats are not gluten grains but need gluten-free verification due cross-contact; some patients react to avenin,FDA/CDF
ramen noodles,ramen noodles,wheat_variety_or_common_food,CONTAINS_GLUTEN,3,reject,common wheat variety or wheat-based food commonly listed as gluten-containing,CDF/GIG
ramen seasoning,ramen seasoning,high_risk_food_phrase,AMBIGUOUS_VERIFY_SOURCE,1,verify,high-risk food phrase commonly associated with hidden gluten; verify ingredient list or source,GIG/CDF
rava,rava,wheat_variety_or_common_food,CONTAINS_GLUTEN,3,reject,common wheat variety or wheat-based food commonly listed as gluten-containing,CDF/GIG
ravioli,wheat,high_risk_food_phrase,CONTAINS_GLUTEN,3,reject,common wheat pasta,CDF
red licorice,red licorice,high_risk_food_phrase,AMBIGUOUS_VERIFY_SOURCE,1,verify,high-risk food phrase commonly associated with hidden gluten; verify ingredient list or source,GIG/CDF
red wheat,wheat,wheat_variety_or_common_food,CONTAINS_GLUTEN,3,reject,wheat class,NIH
regular oats,oats,oats_context,CONTEXT_DEPENDENT,1,verify,oats are not gluten grains but need gluten-free verification due cross-contact; some patients react to avenin,FDA/CDF
regular soy sauce,regular soy sauce,high_risk_food_phrase,AMBIGUOUS_VERIFY_SOURCE,1,verify,high-risk food phrase commonly associated with hidden gluten; verify ingredient list or source,GIG/CDF
rice pilaf,rice pilaf,ambiguous_or_requires_source_check,AMBIGUOUS_VERIFY_SOURCE,1,verify,term can be gluten-containing depending on source/formulation or commonly appears in hidden-gluten contexts,GIG/CDF/FDA
rice puffs,rice puffs,ambiguous_or_requires_source_check,AMBIGUOUS_VERIFY_SOURCE,1,verify,term can be gluten-containing depending on source/formulation or commonly appears in hidden-gluten contexts,GIG/CDF/FDA
roasted barley extract,barley,barley_derivative,CONTAINS_GLUTEN,3,reject,barley derivative,GIG
roasted barley tea,malt/barley,barley_malt_brewing,CONTAINS_GLUTEN,3,reject,barley/malt or non-distilled brewing term associated with gluten-containing grains,CDF/GIG
rolled oats,oats,oats_context,CONTEXT_DEPENDENT,1,verify,oats are not gluten grains but need gluten-free verification due cross-contact; some patients react to avenin,FDA/CDF
rolls,wheat,high_risk_food_phrase,LIKELY_CONTAINS_GLUTEN,2,reject,usually wheat-based bread,CDF
roux,roux,ambiguous_or_requires_source_check,AMBIGUOUS_VERIFY_SOURCE,1,verify,term can be gluten-containing depending on source/formulation or commonly appears in hidden-gluten contexts,GIG/CDF/FDA
rusk,wheat,high_risk_food_phrase,CONTAINS_GLUTEN,3,reject,twice-baked bread filler in sausages,GIG
rye,rye,gluten_grain,CONTAINS_GLUTEN,3,reject,core gluten-containing grain,FDA/CDF/NIH
rye berries,rye,rye_derivative,CONTAINS_GLUTEN,3,reject,rye form,CDF
rye flakes,rye,rye_derivative,CONTAINS_GLUTEN,3,reject,rye form,CDF
rye flour,rye,rye_derivative,CONTAINS_GLUTEN,3,reject,explicit rye ingredient,CDF
rye meal,rye,rye_derivative,CONTAINS_GLUTEN,3,reject,rye form,CDF
salad dressing,salad dressing,high_risk_food_phrase,AMBIGUOUS_VERIFY_SOURCE,1,verify,high-risk food phrase commonly associated with hidden gluten; verify ingredient list or source,GIG/CDF
salad dressings,salad dressings,high_risk_food_phrase,AMBIGUOUS_VERIFY_SOURCE,1,verify,high-risk food phrase commonly associated with hidden gluten; verify ingredient list or source,GIG/CDF
sausage,sausage,high_risk_food_phrase,AMBIGUOUS_VERIFY_SOURCE,1,verify,high-risk food phrase commonly associated with hidden gluten; verify ingredient list or source,GIG/CDF
scotch barley,barley,barley_derivative,CONTAINS_GLUTEN,3,reject,barley term,GIG
seasoned fries,seasoned fries,high_risk_food_phrase,AMBIGUOUS_VERIFY_SOURCE,1,verify,high-risk food phrase commonly associated with hidden gluten; verify ingredient list or source,GIG/CDF
seasoned rice,seasoned rice,ambiguous_or_requires_source_check,AMBIGUOUS_VERIFY_SOURCE,1,verify,term can be gluten-containing depending on source/formulation or commonly appears in hidden-gluten contexts,GIG/CDF/FDA
seasoning,seasoning,ambiguous_or_requires_source_check,AMBIGUOUS_VERIFY_SOURCE,1,verify,term can be gluten-containing depending on source/formulation or commonly appears in hidden-gluten contexts,GIG/CDF/FDA
seasoning packet,seasoning packet,high_risk_food_phrase,AMBIGUOUS_VERIFY_SOURCE,1,verify,high-risk food phrase commonly associated with hidden gluten; verify ingredient list or source,GIG/CDF
seasonings,seasonings,ambiguous_or_requires_source_check,AMBIGUOUS_VERIFY_SOURCE,1,verify,term can be gluten-containing depending on source/formulation or commonly appears in hidden-gluten contexts,GIG/CDF/FDA
secale cereale,rye,latin_scientific_name,LIKELY_CONTAINS_GLUTEN,2,reject,scientific name for rye,GIG
secalin,secalin,gluten_protein,CONTAINS_GLUTEN,3,reject,rye prolamin,NIH
seitan,seitan,wheat_variety_or_common_food,CONTAINS_GLUTEN,3,reject,common wheat variety or wheat-based food commonly listed as gluten-containing,CDF/GIG
self raising flour,wheat,wheat_ingredient,CONTAINS_GLUTEN,3,reject,usually wheat flour blend,CDF/GIG
self-basting poultry,self-basting poultry,ambiguous_or_requires_source_check,AMBIGUOUS_VERIFY_SOURCE,1,verify,term can be gluten-containing depending on source/formulation or commonly appears in hidden-gluten contexts,GIG/CDF/FDA
self-rising flour,wheat,wheat_ingredient,CONTAINS_GLUTEN,3,reject,usually wheat flour blend,CDF/GIG
semolina,semolina,wheat_variety_or_common_food,CONTAINS_GLUTEN,3,reject,common wheat variety or wheat-based food commonly listed as gluten-containing,CDF/GIG
semolina flour,semolina flour,wheat_variety_or_common_food,CONTAINS_GLUTEN,3,reject,common wheat variety or wheat-based food commonly listed as gluten-containing,CDF/GIG
semolina pasta,semolina,wheat_variety_or_common_food,CONTAINS_GLUTEN,3,reject,semolina pasta is wheat-based,CDF
smoke flavoring,smoke flavoring,ambiguous_or_requires_source_check,AMBIGUOUS_VERIFY_SOURCE,1,verify,term can be gluten-containing depending on source/formulation or commonly appears in hidden-gluten contexts,GIG/CDF/FDA
smoke flavouring,smoke flavouring,ambiguous_or_requires_source_check,AMBIGUOUS_VERIFY_SOURCE,1,verify,term can be gluten-containing depending on source/formulation or commonly appears in hidden-gluten contexts,GIG/CDF/FDA
soba,buckwheat/wheat mix,high_risk_food_phrase,AMBIGUOUS_VERIFY_SOURCE,1,verify,many soba products include wheat,CDF
soft wheat,wheat,wheat_variety_or_common_food,CONTAINS_GLUTEN,3,reject,wheat class,NIH
soup,soup,high_risk_food_phrase,AMBIGUOUS_VERIFY_SOURCE,1,verify,high-risk food phrase commonly associated with hidden gluten; verify ingredient list or source,GIG/CDF
soup base,soup base,ambiguous_or_requires_source_check,AMBIGUOUS_VERIFY_SOURCE,1,verify,term can be gluten-containing depending on source/formulation or commonly appears in hidden-gluten contexts,GIG/CDF/FDA
soy sauce,soy sauce,high_risk_food_phrase,AMBIGUOUS_VERIFY_SOURCE,1,verify,high-risk food phrase commonly associated with hidden gluten; verify ingredient list or source,GIG/CDF
soy sauce solids,soy sauce,high_risk_food_phrase,CONTAINS_GLUTEN,3,reject,powdered soy sauce often implies wheat-based soy sauce,GIG/CDF
specialty chocolate,specialty chocolate,high_risk_food_phrase,AMBIGUOUS_VERIFY_SOURCE,1,verify,high-risk food phrase commonly associated with hidden gluten; verify ingredient list or source,GIG/CDF
specialty ketchup,specialty ketchup,high_risk_food_phrase,AMBIGUOUS_VERIFY_SOURCE,1,verify,high-risk food phrase commonly associated with hidden gluten; verify ingredient list or source,GIG/CDF
specialty mustard,specialty mustard,high_risk_food_phrase,AMBIGUOUS_VERIFY_SOURCE,1,verify,high-risk food phrase commonly associated with hidden gluten; verify ingredient list or source,GIG/CDF
spelt,spelt,wheat_variety_or_common_food,CONTAINS_GLUTEN,3,reject,common wheat variety or wheat-based food commonly listed as gluten-containing,CDF/GIG
spelt flour,spelt flour,wheat_variety_or_common_food,CONTAINS_GLUTEN,3,reject,common wheat variety or wheat-based food commonly listed as gluten-containing,CDF/GIG
starch,starch,ambiguous_or_requires_source_check,AMBIGUOUS_VERIFY_SOURCE,1,verify,term can be gluten-containing depending on source/formulation or commonly appears in hidden-gluten contexts,GIG/CDF/FDA
steel cut oats,oats,oats_context,CONTEXT_DEPENDENT,1,verify,oats are not gluten grains but need gluten-free verification due cross-contact; some patients react to avenin,FDA/CDF
stout,malt/barley,barley_malt_brewing,CONTAINS_GLUTEN,3,reject,barley/malt or non-distilled brewing term associated with gluten-containing grains,CDF/GIG
stuffing,stuffing,high_risk_food_phrase,AMBIGUOUS_VERIFY_SOURCE,1,verify,high-risk food phrase commonly associated with hidden gluten; verify ingredient list or source,GIG/CDF
suji,suji,wheat_variety_or_common_food,CONTAINS_GLUTEN,3,reject,common wheat variety or wheat-based food commonly listed as gluten-containing,CDF/GIG
taco seasoning,taco seasoning,high_risk_food_phrase,AMBIGUOUS_VERIFY_SOURCE,1,verify,high-risk food phrase commonly associated with hidden gluten; verify ingredient list or source,GIG/CDF
tamari,tamari,high_risk_food_phrase,CONTEXT_DEPENDENT,1,verify,tamari may be safe but source/label matters,CDF
tamari with wheat,tamari with wheat,high_risk_food_phrase,AMBIGUOUS_VERIFY_SOURCE,1,verify,high-risk food phrase commonly associated with hidden gluten; verify ingredient list or source,GIG/CDF
tempura batter,wheat,high_risk_food_phrase,LIKELY_CONTAINS_GLUTEN,2,reject,typically wheat-based batter,GIG
teriyaki sauce,teriyaki sauce,high_risk_food_phrase,AMBIGUOUS_VERIFY_SOURCE,1,verify,high-risk food phrase commonly associated with hidden gluten; verify ingredient list or source,GIG/CDF
textured vegetable protein,textured vegetable protein,ambiguous_or_requires_source_check,AMBIGUOUS_VERIFY_SOURCE,1,verify,term can be gluten-containing depending on source/formulation or commonly appears in hidden-gluten contexts,GIG/CDF/FDA
traditional soy sauce,traditional soy sauce,high_risk_food_phrase,AMBIGUOUS_VERIFY_SOURCE,1,verify,high-risk food phrase commonly associated with hidden gluten; verify ingredient list or source,GIG/CDF
triticale,triticale,gluten_grain,CONTAINS_GLUTEN,3,reject,wheat-rye crossbred gluten grain,FDA/CDF
triticum,wheat,latin_scientific_name,LIKELY_CONTAINS_GLUTEN,2,reject,Latin root for wheat,GIG
triticum aestivum,wheat,latin_scientific_name,LIKELY_CONTAINS_GLUTEN,2,reject,scientific name for bread wheat,GIG/NIH
triticum compactum,club wheat,latin_scientific_name,LIKELY_CONTAINS_GLUTEN,2,reject,wheat species,NIH
triticum dicoccum,emmer,latin_scientific_name,LIKELY_CONTAINS_GLUTEN,2,reject,scientific name for emmer,NIH
triticum durum,durum,latin_scientific_name,LIKELY_CONTAINS_GLUTEN,2,reject,scientific name for durum wheat,NIH
triticum monococcum,einkorn,latin_scientific_name,LIKELY_CONTAINS_GLUTEN,2,reject,scientific name for einkorn,NIH
triticum polonicum,polish wheat,latin_scientific_name,LIKELY_CONTAINS_GLUTEN,2,reject,wheat species,NIH
triticum spelta,spelt,latin_scientific_name,LIKELY_CONTAINS_GLUTEN,2,reject,scientific name for spelt,NIH
triticum turanicum,khorasan/kamut,latin_scientific_name,LIKELY_CONTAINS_GLUTEN,2,reject,scientific name for khorasan wheat,NIH
triticum turgidum,durum/emmer group,latin_scientific_name,LIKELY_CONTAINS_GLUTEN,2,reject,scientific name in wheat family,NIH
triticum vulgare,wheat,latin_scientific_name,LIKELY_CONTAINS_GLUTEN,2,reject,Latin/common cosmetic name for wheat,GIG
tvp,tvp,ambiguous_or_requires_source_check,AMBIGUOUS_VERIFY_SOURCE,1,verify,term can be gluten-containing depending on source/formulation or commonly appears in hidden-gluten contexts,GIG/CDF/FDA
udon,udon,wheat_variety_or_common_food,CONTAINS_GLUTEN,3,reject,common wheat variety or wheat-based food commonly listed as gluten-containing,CDF/GIG
vegan burger,vegan burger,high_risk_food_phrase,AMBIGUOUS_VERIFY_SOURCE,1,verify,high-risk food phrase commonly associated with hidden gluten; verify ingredient list or source,GIG/CDF
vegan deli meat,vegan deli meat,high_risk_food_phrase,AMBIGUOUS_VERIFY_SOURCE,1,verify,high-risk food phrase commonly associated with hidden gluten; verify ingredient list or source,GIG/CDF
vegan hot dog,vegan hot dog,high_risk_food_phrase,AMBIGUOUS_VERIFY_SOURCE,1,verify,high-risk food phrase commonly associated with hidden gluten; verify ingredient list or source,GIG/CDF
vegan pepperoni,vegan pepperoni,high_risk_food_phrase,AMBIGUOUS_VERIFY_SOURCE,1,verify,high-risk food phrase commonly associated with hidden gluten; verify ingredient list or source,GIG/CDF
vegemite,vegemite,high_risk_food_phrase,AMBIGUOUS_VERIFY_SOURCE,1,verify,high-risk food phrase commonly associated with hidden gluten; verify ingredient list or source,GIG/CDF
vegetable protein,vegetable protein,ambiguous_or_requires_source_check,AMBIGUOUS_VERIFY_SOURCE,1,verify,term can be gluten-containing depending on source/formulation or commonly appears in hidden-gluten contexts,GIG/CDF/FDA
vegetarian burger,vegetarian burger,high_risk_food_phrase,AMBIGUOUS_VERIFY_SOURCE,1,verify,high-risk food phrase commonly associated with hidden gluten; verify ingredient list or source,GIG/CDF
veggie burger,veggie burger,high_risk_food_phrase,AMBIGUOUS_VERIFY_SOURCE,1,verify,high-risk food phrase commonly associated with hidden gluten; verify ingredient list or source,GIG/CDF
vital wheat gluten,wheat,wheat_ingredient,CONTAINS_GLUTEN,3,reject,concentrated wheat gluten,GIG/CDF
waffle mix,wheat,high_risk_food_phrase,CONTAINS_GLUTEN,3,reject,common wheat flour mixture,CDF
wheat,wheat,gluten_grain,CONTAINS_GLUTEN,3,reject,core gluten-containing grain,FDA/CDF/NIH
wheat beer,malt/barley,barley_malt_brewing,CONTAINS_GLUTEN,3,reject,barley/malt or non-distilled brewing term associated with gluten-containing grains,CDF/GIG
wheat berries,wheat,wheat_variety,CONTAINS_GLUTEN,3,reject,listed wheat derivative,CDF
wheat bran,wheat,wheat_ingredient,CONTAINS_GLUTEN,3,reject,wheat fraction,FDA/CDF
wheat dextrin,wheat dextrin,ambiguous_or_requires_source_check,AMBIGUOUS_VERIFY_SOURCE,1,verify,term can be gluten-containing depending on source/formulation or commonly appears in hidden-gluten contexts,GIG/CDF/FDA
wheat flour,wheat,wheat_ingredient,CONTAINS_GLUTEN,3,reject,explicit wheat ingredient,CDF
wheat germ,wheat,wheat_ingredient,CONTAINS_GLUTEN,3,reject,wheat fraction,FDA/CDF
wheat gluten,wheat,wheat_ingredient,CONTAINS_GLUTEN,3,reject,explicit gluten source,FDA/CDF
wheat maltodextrin,wheat maltodextrin,ambiguous_or_requires_source_check,AMBIGUOUS_VERIFY_SOURCE,1,verify,term can be gluten-containing depending on source/formulation or commonly appears in hidden-gluten contexts,GIG/CDF/FDA
wheat noodles,wheat,high_risk_food_phrase,CONTAINS_GLUTEN,3,reject,explicit wheat noodle phrase,CDF
wheat protein concentrate,wheat,wheat_ingredient,CONTAINS_GLUTEN,3,reject,explicit wheat protein,GIG
wheat protein isolate,wheat,wheat_ingredient,CONTAINS_GLUTEN,3,reject,explicit wheat protein,GIG
wheat semolina,semolina,wheat_variety_or_common_food,CONTAINS_GLUTEN,3,reject,explicit wheat semolina,CDF
wheat starch,wheat,wheat_ingredient,CONTEXT_DEPENDENT,1,verify,may be safe only if specially processed below 20 ppm,FDA/CDF
wheat-based soy sauce,soy sauce,high_risk_food_phrase,CONTAINS_GLUTEN,3,reject,explicit wheat-based soy sauce,GIG
wheatberries,wheat,wheat_variety,CONTAINS_GLUTEN,3,reject,listed wheat derivative,CDF
white wheat,wheat,wheat_variety_or_common_food,CONTAINS_GLUTEN,3,reject,wheat class,NIH
whole wheat flour,wheat,wheat_ingredient,CONTAINS_GLUTEN,3,reject,explicit wheat ingredient,CDF
wine cooler,wine cooler,high_risk_food_phrase,AMBIGUOUS_VERIFY_SOURCE,1,verify,high-risk food phrase commonly associated with hidden gluten; verify ingredient list or source,GIG/CDF
wine cooler malt base,malt/barley,barley_malt_brewing,CONTAINS_GLUTEN,3,reject,barley/malt or non-distilled brewing term associated with gluten-containing grains,CDF/GIG
wonton wrappers,wonton wrappers,wheat_variety_or_common_food,CONTAINS_GLUTEN,3,reject,common wheat variety or wheat-based food commonly listed as gluten-containing,CDF/GIG
yeast extract,yeast extract,ambiguous_or_requires_source_check,AMBIGUOUS_VERIFY_SOURCE,1,verify,term can be gluten-containing depending on source/formulation or commonly appears in hidden-gluten contexts,GIG/CDF/FDA
yeast extract derived from barley,barley,barley_derivative,CONTAINS_GLUTEN,3,reject,explicit barley-derived yeast extract,GIG
yeast spread,yeast spread,high_risk_food_phrase,AMBIGUOUS_VERIFY_SOURCE,1,verify,high-risk food phrase commonly associated with hidden gluten; verify ingredient list or source,GIG/CDF
